#{"t_start": 1745397208.6728308, "env_id": "intersection-v0"}
r,l,t
-2.0,3,61.958573
2.0,3,62.213877
5.0,5,62.452114
4.0,4,62.715649
-2.0,3,62.972076
5.0,5,129.663693
5.0,5,130.03904
2.0,3,130.177581
-2.0,3,130.376298
5.0,5,130.792308
5.0,5,195.996333
5.0,5,196.241413
5.0,5,196.426278
-1.0,4,196.782081
0.0,5,197.064765
-3.0,2,262.830399
5.0,5,263.124803
5.0,5,263.409002
5.0,5,263.74173
5.0,5,263.961833
-2.468761,3,332.369133
-2.0,3,332.503407
5.0,5,332.808211
-3.0,2,333.019146
-2.468761,3,333.324326
5.0,5,400.410235
5.0,5,400.653536
-2.0,3,400.901267
5.0,5,401.193538
5.0,5,401.412882
-1.0,4,470.587118
5.0,5,470.905004
5.0,5,471.059139
5.0,5,471.356602
-2.0,3,471.535898
5.0,5,540.7976
-1.429751,4,541.003731
5.0,5,541.278201
-2.0,3,541.537784
-2.468761,3,541.905159
4.0,4,609.18148
5.0,5,609.444402
-3.0,2,609.548317
4.0,4,609.826556
-2.468761,3,610.100327
-5.0,1,677.31511
5.0,5,677.566093
5.0,5,677.824046
5.0,5,678.315564
-2.0,3,678.477621
-2.0,3,745.774258
5.0,5,746.179335
-3.0,2,746.328562
-1.429751,4,746.614064
2.0,3,746.823112
5.0,5,816.896076
5.0,5,817.128385
-3.0,2,817.317971
-2.0,3,817.496016
5.0,5,817.810441
-2.0,3,886.461912
5.0,5,886.7545
5.0,5,887.123826
5.0,5,887.439113
-2.0,3,887.726317
-2.0,3,958.365113
-1.429751,4,958.630123
5.0,5,959.02644
5.0,5,959.309907
-2.0,3,959.458222
-3.982694,2,1028.005157
-2.0,3,1028.240147
-1.0,4,1028.421943
5.0,5,1028.751676
-2.0,3,1028.917552
5.0,5,1096.576226
3.0,4,1097.04016
-1.0,4,1097.31364
5.0,5,1097.655505
5.0,5,1097.951068
-2.0,3,1167.475311
-3.0,2,1167.66295
2.0,3,1167.84497
5.0,5,1168.116213
-0.131712,5,1168.366466
3.0,4,1235.295717
5.0,5,1235.652182
4.0,4,1235.989011
4.0,4,1236.240615
-2.0,3,1236.575922
3.0,4,1305.76241
5.0,5,1306.098921
5.0,5,1306.340632
-2.0,3,1306.578092
-3.0,2,1306.789332
-2.468761,3,1374.261762
-3.0,2,1374.458437
5.0,5,1374.811633
-3.697041,2,1374.992094
-2.0,3,1375.203967
5.0,5,1446.751805
-2.175214,3,1447.008544
5.0,5,1447.496165
-3.0,2,1447.685373
-2.175214,3,1447.909198
5.0,5,1517.190849
5.0,5,1517.539999
5.0,5,1517.881578
-3.0,2,1518.050353
-2.0,3,1518.308067
-2.0,3,1588.002749
5.0,5,1588.369877
3.0,4,1588.62094
5.0,5,1588.845467
5.0,5,1589.207751
5.0,5,1658.405166
4.0,4,1658.543983
4.0,4,1658.711614
-2.0,3,1658.934463
5.0,5,1659.233158
5.0,5,1728.502109
-2.0,3,1728.709538
-2.0,3,1728.875541
5.0,5,1729.156089
-3.0,2,1729.36864
5.0,5,1798.852185
-2.0,3,1799.151944
5.0,5,1799.427085
5.0,5,1799.627955
5.0,5,1799.961733
4.0,4,1870.164357
-4.451106,1,1870.286476
5.0,5,1870.55106
-2.0,3,1870.711827
4.0,4,1870.876246
-2.0,3,1942.783719
5.0,5,1943.047152
5.0,5,1943.323629
5.0,5,1943.584118
5.0,5,1943.934354
5.0,5,2013.261426
-2.0,3,2013.493904
5.0,5,2013.679991
-3.0,2,2013.822399
5.0,5,2014.256711
-2.0,3,2084.844316
-1.0,4,2085.308542
-2.0,3,2085.494609
-2.0,3,2085.73293
2.0,3,2085.997405
5.0,5,2155.427232
4.0,4,2155.806985
5.0,5,2156.153397
-2.742999,3,2156.374038
-2.0,3,2156.606999
-2.0,3,2226.048847
5.0,5,2226.266214
5.0,5,2226.545997
5.0,5,2226.769732
5.0,5,2227.188361
-3.0,2,2296.433822
-1.0,4,2296.827923
3.0,4,2297.067162
-3.0,2,2297.241519
5.0,5,2297.562705
4.0,4,2366.361192
4.0,4,2366.652443
-2.0,3,2366.840494
-2.0,3,2367.016015
-3.0,2,2367.220762
5.0,5,2438.104742
5.0,5,2438.384691
-3.0,2,2438.559151
5.0,5,2439.081466
-3.0,2,2439.218673
5.0,5,2511.864438
-3.392624,2,2511.942591
5.0,5,2512.155176
4.0,4,2512.368856
5.0,5,2512.818425
5.0,5,2581.064288
5.0,5,2581.347222
-2.0,3,2581.522198
-1.0,4,2581.770087
5.0,5,2582.154941
5.0,5,2653.180869
5.0,5,2653.4472
-3.0,2,2653.641616
-2.0,3,2653.865146
5.0,5,2654.139079
5.0,5,2723.718866
5.0,5,2724.080818
5.0,5,2724.413985
-2.0,3,2724.734642
5.0,5,2724.983387
5.0,5,2796.350545
5.0,5,2796.772567
5.0,5,2797.137599
-2.0,3,2797.316544
-2.0,3,2797.546806
-2.468761,3,2865.950746
-2.0,3,2866.168868
-3.0,2,2866.285714
5.0,5,2866.625092
5.0,5,2866.765205
-2.0,3,2937.696313
-2.0,3,2937.868665
5.0,5,2938.144186
-3.0,2,2938.295285
-3.392624,2,2938.509732
5.0,5,3008.613766
-2.0,3,3008.754812
5.0,5,3008.9703
5.0,5,3009.357863
-2.0,3,3009.488383
5.0,5,3075.790635
5.0,5,3076.050391
-2.0,3,3076.231823
5.0,5,3076.440452
5.0,5,3076.651036
5.0,5,3149.432617
5.0,5,3149.724257
-2.0,3,3149.965734
-3.0,2,3150.295824
-1.0,4,3150.595633
-3.0,2,3219.084632
3.0,4,3219.366797
-2.0,3,3219.604111
5.0,5,3219.955998
-2.0,3,3220.242244
4.0,4,3290.132545
5.0,5,3290.365302
5.0,5,3290.595166
-2.0,3,3290.782205
5.0,5,3291.117591
5.0,5,3359.555
5.0,5,3359.982239
2.0,3,3360.266786
-2.0,3,3360.684216
5.0,5,3361.16777
5.0,5,3429.233811
-2.0,3,3429.436183
-2.0,3,3429.724983
0.0,5,3430.072138
5.0,5,3430.343895
5.0,5,3501.127078
5.0,5,3501.271129
5.0,5,3501.616735
-3.0,2,3501.813507
-2.0,3,3502.053102
-2.0,3,3571.451848
-2.0,3,3571.68054
5.0,5,3571.993386
5.0,5,3572.224743
5.0,5,3572.530987
-1.702039,4,3641.798728
-2.0,3,3642.174308
-3.0,2,3642.356715
-2.0,3,3642.534507
5.0,5,3642.994291
5.0,5,3714.320632
-1.0,4,3714.546953
4.0,4,3714.81672
-2.175214,3,3715.019262
2.0,3,3715.245616
-1.138061,4,3784.075807
5.0,5,3784.386112
5.0,5,3784.878021
5.0,5,3785.135587
-3.0,2,3785.31437
-2.0,3,3856.57137
5.0,5,3856.896242
-2.0,3,3857.225358
4.0,4,3857.478725
4.0,4,3857.67805
5.0,5,3928.311017
5.0,5,3928.656448
3.0,4,3929.012024
-3.392624,2,3929.101761
5.0,5,3929.442512
5.0,5,4002.159444
5.0,5,4002.540625
2.0,3,4002.84776
5.0,5,4003.090683
5.0,5,4003.321051
5.0,5,4073.996665
5.0,5,4074.218684
-2.0,3,4074.403923
-2.0,3,4074.506604
-2.0,3,4074.67845
-3.0,2,4144.691577
-2.0,3,4144.819277
-3.982694,2,4144.987404
5.0,5,4145.253217
5.0,5,4145.636383
5.0,5,4215.917172
-2.0,3,4216.099862
4.0,4,4216.348149
5.0,5,4216.608061
5.0,5,4216.913986
5.0,5,4286.46793
4.0,4,4286.724524
-2.175214,3,4286.96642
-1.0,4,4287.356446
-1.429751,4,4287.636292
-0.131712,5,4356.643241
5.0,5,4356.916238
-2.0,3,4357.167461
5.0,5,4357.383682
-3.0,2,4357.503938
5.0,5,4439.079851
5.0,5,4439.344235
5.0,5,4439.594408
5.0,5,4439.951727
5.0,5,4440.29286
5.0,5,4519.082371
-2.0,3,4519.297494
5.0,5,4519.644092
5.0,5,4519.922374
5.0,5,4520.225015
-2.742999,3,4588.599932
5.0,5,4589.012465
-1.0,4,4589.349075
-0.695039,5,4589.563097
5.0,5,4589.892032
-3.0,2,4663.431737
5.0,5,4663.798582
5.0,5,4664.400886
-3.0,2,4664.529153
4.0,4,4664.738464
5.0,5,4743.081688
5.0,5,4743.484703
-2.0,3,4743.572664
5.0,5,4743.909505
5.0,5,4744.140585
-2.468761,3,4821.660394
5.0,5,4821.940323
-3.0,2,4822.079919
-1.0,4,4822.374897
5.0,5,4822.719924
3.0,4,4898.976763
-2.0,3,4899.233761
-3.0,2,4899.387341
-2.0,3,4899.613132
-2.0,3,4899.850169
5.0,5,4971.29958
5.0,5,4971.565389
-2.742999,3,4971.775915
-3.0,2,4971.978301
5.0,5,4972.243843
5.0,5,5046.392767
-3.0,2,5046.529438
5.0,5,5046.949015
5.0,5,5047.375109
5.0,5,5047.75768
-2.0,3,5122.556257
-2.0,3,5122.725989
4.0,4,5123.0818
-2.0,3,5123.266319
5.0,5,5123.543004
5.0,5,5194.061482
5.0,5,5194.354542
4.0,4,5194.538843
5.0,5,5194.95949
4.0,4,5195.297508
5.0,5,5274.212201
5.0,5,5274.508623
5.0,5,5274.789255
-2.175214,3,5275.031367
5.0,5,5275.312318
5.0,5,5346.236553
-1.0,4,5346.623448
5.0,5,5346.917366
5.0,5,5347.285707
2.0,3,5347.541504
2.0,3,5417.57022
5.0,5,5417.839947
5.0,5,5418.093004
5.0,5,5418.399129
-2.0,3,5418.557525
5.0,5,5488.012994
5.0,5,5488.454998
5.0,5,5488.688509
-1.0,4,5489.079856
-2.0,3,5489.279598
2.0,3,5564.391407
5.0,5,5564.745637
-2.0,3,5565.038353
5.0,5,5565.368091
5.0,5,5565.694203
-2.468761,3,5647.252856
-4.0,1,5647.337696
5.0,5,5647.565452
5.0,5,5648.01983
-1.0,4,5648.414373
4.0,4,5723.700065
5.0,5,5724.121979
-4.0,1,5724.2644
-2.0,3,5724.462479
5.0,5,5724.882053
5.0,5,5799.544491
5.0,5,5799.699377
3.0,4,5799.90783
5.0,5,5800.185773
-2.0,3,5800.373041
4.0,4,5874.186751
-2.0,3,5874.443687
5.0,5,5874.646417
5.0,5,5874.888862
5.0,5,5875.229574
-2.0,3,5948.641846
-3.0,2,5948.913913
4.0,4,5949.284193
5.0,5,5949.610582
5.0,5,5949.829521
5.0,5,6025.19126
-2.0,3,6025.456576
5.0,5,6025.950146
5.0,5,6026.379029
-3.0,2,6026.595934
-3.0,2,6102.066277
4.0,4,6102.331568
-2.0,3,6102.483708
-2.0,3,6102.69804
-3.0,2,6102.846317
-1.429751,4,6175.226865
-2.0,3,6175.429117
-2.0,3,6175.690446
-1.0,4,6175.942551
-2.468761,3,6176.331407
5.0,5,6251.174767
-3.0,2,6251.436546
5.0,5,6251.723431
4.0,4,6252.089123
-2.742999,3,6252.337736
5.0,5,6329.25128
-2.0,3,6329.565125
3.0,4,6330.213851
-2.0,3,6330.487902
5.0,5,6331.084156
-3.0,2,6405.19945
5.0,5,6405.604272
-2.0,3,6406.00063
5.0,5,6406.275346
5.0,5,6406.50163
5.0,5,6477.883582
5.0,5,6478.321572
5.0,5,6478.80144
5.0,5,6479.032672
5.0,5,6479.407426
-2.468761,3,6554.843912
2.0,3,6555.020889
-3.0,2,6555.159592
-2.0,3,6555.425687
5.0,5,6555.746961
5.0,5,6625.442336
4.0,4,6625.635427
5.0,5,6626.000278
-2.0,3,6626.225605
-2.0,3,6626.490808
-2.0,3,6696.399649
2.0,3,6696.616956
5.0,5,6696.930799
2.0,3,6697.090919
-2.0,3,6697.303695
5.0,5,6770.795053
4.0,4,6771.161123
5.0,5,6771.446967
-2.0,3,6771.602515
-2.0,3,6771.759544
5.0,5,6840.290897
-1.0,4,6840.520287
4.0,4,6840.776445
-3.0,2,6840.96802
5.0,5,6841.322953
-2.742999,3,6918.101847
5.0,5,6918.377428
3.0,4,6918.629877
5.0,5,6918.951055
5.0,5,6919.384542
5.0,5,6994.369828
5.0,5,6994.791081
-2.0,3,6995.001061
5.0,5,6995.256953
-2.0,3,6995.552929
5.0,5,7067.845822
-2.0,3,7068.025855
-2.0,3,7068.2911
-0.131712,5,7068.615732
2.0,3,7068.818407
5.0,5,7146.302498
5.0,5,7146.599084
-2.0,3,7146.762616
5.0,5,7147.068989
5.0,5,7147.339904
-2.742999,3,7217.255923
3.0,4,7217.390495
5.0,5,7217.6709
-5.0,1,7217.832627
-2.742999,3,7218.121309
9256
-2.0,3,141.593197
-2.468761,3,141.824176
5.0,5,142.221983
5.0,5,142.523429
-2.175214,3,142.682715
5.0,5,143.09846
-2.0,3,143.241595
5.0,5,143.624059
5.0,5,143.995996
5.0,5,144.172402
5.0,5,144.416162
3.0,4,144.747916
-3.0,2,144.902185
5.0,5,145.215763
-2.0,3,145.355065
-3.0,2,145.454193
5.0,5,145.784074
2.0,3,145.986302
5.0,5,146.211857
-1.702039,4,146.592625
-2.0,3,146.782862
-2.175214,3,147.024778
-2.0,3,147.284503
-3.0,2,147.413468
-3.0,2,147.653071
-3.0,2,147.786451
-2.742999,3,147.956782
3.0,4,148.192013
-2.0,3,148.447396
-3.068023,2,148.575739
5.0,5,148.888107
5.0,5,149.025487
3.0,4,149.20446
2.0,3,149.481844
-3.0,2,149.68602
5.0,5,149.887328
5.0,5,150.27124
5.0,5,150.618543
5.0,5,150.866041
4.0,4,151.11575
4.0,4,151.362817
-1.0,4,151.739144
-2.0,3,152.010917
4.0,4,152.270661
-2.0,3,152.385082
-2.0,3,152.627793
-2.0,3,152.895725
-3.0,2,153.082441
-2.0,3,153.271905
-2.0,3,153.421174
-3.0,2,153.62423
3.0,4,153.823304
-2.0,3,154.104019
5.0,5,154.40271
5.0,5,154.639194
-2.468761,3,154.842855
-2.0,3,154.985128
5.0,5,155.194112
5.0,5,155.369874
5.0,5,155.691813
-2.0,3,155.938158
5.0,5,156.227962
-3.982694,2,156.366645
-3.0,2,156.521246
3.0,4,156.754457
5.0,5,157.084966
5.0,5,157.407328
-2.0,3,157.632921
5.0,5,157.909746
5.0,5,158.154226
5.0,5,158.453789
-2.0,3,158.676737
-2.742999,3,158.837723
5.0,5,159.126842
-2.0,3,159.457505
-2.0,3,159.691254
5.0,5,159.942607
-3.0,2,160.124318
5.0,5,160.317002
5.0,5,160.651203
5.0,5,160.991327
-1.702039,4,161.281758
5.0,5,161.554567
-3.0,2,161.793871
-5.0,1,161.928629
5.0,5,162.224521
-2.0,3,162.334247
-2.0,3,162.54323
-1.0,4,162.954461
-2.0,3,163.279072
5.0,5,163.555801
-3.0,2,163.725961
-1.0,4,164.002752
5.0,5,164.180941
5.0,5,164.554065
-2.0,3,164.816567
5.0,5,165.089601
-3.0,2,165.303956
5.0,5,165.652087
-1.0,4,166.073766
5.0,5,166.420956
-1.702039,4,166.822168
5.0,5,167.177167
2.0,3,167.45052
5.0,5,167.790568
5.0,5,168.19913
-2.0,3,168.423732
5.0,5,168.71199
4.0,4,168.92734
5.0,5,169.224492
4.0,4,169.483731
-2.175214,3,169.672497
-2.0,3,169.906008
-1.0,4,170.16835
5.0,5,170.466669
-3.068023,2,170.607928
-2.0,3,170.801866
-2.0,3,171.033879
-4.0,1,171.146748
-1.0,4,171.414598
-2.468761,3,171.558464
-2.0,3,171.786495
5.0,5,172.136658
5.0,5,172.593166
5.0,5,172.935426
5.0,5,173.286605
-2.175214,3,173.418752
-3.0,2,173.549946
-3.0,2,173.729555
5.0,5,174.069317
6.0,6,174.442932
-2.0,3,174.573023
-2.0,3,174.892059
-2.742999,3,175.093167
-2.0,3,175.206697
-2.0,3,175.471537
-2.0,3,175.700644
-3.0,2,175.99825
-3.0,2,176.091355
-2.0,3,176.258139
5.0,5,176.498445
5.0,5,176.789283
-3.0,2,176.975564
4.0,4,177.272693
-2.0,3,177.489149
-2.0,3,177.771222
-1.0,4,178.162779
5.0,5,178.561502
4.0,4,178.846005
5.0,5,179.292127
5.0,5,179.572063
5.0,5,179.845592
5.0,5,180.179908
5.0,5,180.344155
-2.0,3,180.561575
-3.0,2,180.737614
5.0,5,180.935661
-3.0,2,181.113748
-2.0,3,181.386676
5.0,5,181.607899
-2.742999,3,181.843766
5.0,5,182.083831
5.0,5,182.467379
-2.0,3,182.639321
-2.742999,3,182.876628
5.0,5,183.24606
-2.0,3,183.403181
-2.0,3,183.510539
5.0,5,183.720576
5.0,5,183.923382
2.0,3,184.146994
-2.742999,3,184.367462
5.0,5,184.680687
-2.0,3,184.896048
2.0,3,185.109849
5.0,5,185.379192
-3.0,2,185.570501
-2.175214,3,185.857439
5.0,5,186.182755
5.0,5,186.562209
5.0,5,186.804414
5.0,5,187.011944
5.0,5,187.35805
-3.0,2,187.519886
5.0,5,187.721278
-2.0,3,187.968247
4.0,4,188.260575
5.0,5,188.499607
5.0,5,188.81746
-2.0,3,189.029754
-2.468761,3,189.222167
5.0,5,189.437081
2.0,3,189.607947
5.0,5,189.880908
-3.0,2,190.07053
5.0,5,190.263891
5.0,5,190.626888
-2.0,3,190.813375
5.0,5,191.026406
-2.0,3,191.155643
5.0,5,191.394306
5.0,5,191.63816
4.0,4,191.891546
5.0,5,192.125151
5.0,5,192.351191
5.0,5,192.698615
-2.742999,3,192.852188
5.0,5,193.097672
-2.175214,3,193.255771
5.0,5,193.536014
5.0,5,193.731965
-2.0,3,193.934489
5.0,5,194.264828
5.0,5,194.684966
-2.0,3,194.858011
5.0,5,195.260441
5.0,5,195.634695
2.0,3,195.851962
4.0,4,197.359767
-3.0,2,197.526409
-4.0,1,197.638452
-3.392624,2,197.823187
-2.0,3,198.043796
5.0,5,198.355152
5.0,5,198.666736
5.0,5,199.017128
-3.0,2,199.221023
-2.0,3,199.49828
-5.0,1,199.59879
5.0,5,199.818488
-2.0,3,200.017824
-2.0,3,200.226314
5.0,5,200.550569
-2.0,3,200.748493
-2.0,3,200.936327
5.0,5,201.222247
-2.0,3,201.40765
5.0,5,201.648865
4.0,4,201.867897
5.0,5,202.135609
5.0,5,202.485304
