#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
5.0,5,65.801728
2.0,3,66.01332
-1.0,4,66.321137
5.0,5,66.571677
5.0,5,66.90023
4.0,4,134.47664
4.0,4,134.600957
5.0,5,134.980863
5.0,5,135.364286
5.0,5,135.503281
5.0,5,206.470691
5.0,5,206.74317
5.0,5,207.022375
-3.0,2,207.16714
-3.0,2,207.348476
5.0,5,275.819507
5.0,5,276.266502
-2.0,3,276.629494
5.0,5,276.788844
-2.0,3,277.064905
2.0,3,348.71061
5.0,5,348.961663
-2.175214,3,349.181249
2.0,3,349.417103
-2.0,3,349.583549
-2.742999,3,418.450604
-2.0,3,418.719298
-3.0,2,418.879114
-2.0,3,419.065794
2.0,3,419.357204
5.0,5,486.24038
5.0,5,486.500169
5.0,5,486.790847
5.0,5,487.174081
5.0,5,487.632362
5.0,5,553.288852
-2.0,3,553.488349
5.0,5,553.757964
5.0,5,553.975807
5.0,5,554.356605
-2.0,3,623.083362
5.0,5,623.401693
5.0,5,623.716343
-2.0,3,624.006566
5.0,5,624.376906
5.0,5,688.664917
-2.0,3,688.830666
5.0,5,689.15765
-2.0,3,689.408023
5.0,5,689.689616
5.0,5,758.803953
5.0,5,759.151167
-2.0,3,759.354722
-1.0,4,759.512368
-2.0,3,759.750532
5.0,5,824.652566
-2.175214,3,824.945456
5.0,5,825.33191
2.0,3,825.558206
-2.0,3,825.732499
-2.175214,3,894.742343
5.0,5,895.015168
-2.0,3,895.359952
5.0,5,895.650828
3.0,4,895.944094
-3.0,2,961.584199
5.0,5,961.985438
-3.0,2,962.163505
5.0,5,962.464644
-3.0,2,962.594889
5.0,5,1030.211878
-2.0,3,1030.420235
-2.175214,3,1030.690588
5.0,5,1030.953094
5.0,5,1031.419731
5.0,5,1097.682323
5.0,5,1097.929769
-3.0,2,1098.059097
-2.0,3,1098.307141
-3.0,2,1098.482717
-2.0,3,1168.034471
-2.0,3,1168.200542
-3.0,2,1168.373667
-2.0,3,1168.558234
-2.0,3,1168.670505
5.0,5,1233.744463
-3.0,2,1233.908334
5.0,5,1234.10682
-3.0,2,1234.314129
5.0,5,1234.76726
-2.0,3,1303.292893
5.0,5,1303.480745
-2.0,3,1303.630586
-1.0,4,1303.884795
5.0,5,1304.196167
5.0,5,1370.306482
5.0,5,1370.492028
-2.0,3,1370.741549
-3.0,2,1370.93457
-2.175214,3,1371.075942
5.0,5,1439.010777
-2.0,3,1439.19508
-3.0,2,1439.319227
5.0,5,1439.57387
-2.742999,3,1439.834654
5.0,5,1504.264861
5.0,5,1504.661366
5.0,5,1504.875286
4.0,4,1505.260025
-2.0,3,1505.437869
5.0,5,1573.204705
-2.0,3,1573.443237
-1.702039,4,1573.710493
-2.0,3,1573.941008
4.0,4,1574.129683
-3.0,2,1640.869734
-1.0,4,1641.137425
-2.0,3,1641.287659
5.0,5,1641.577779
4.0,4,1641.820841
-3.0,2,1709.100158
5.0,5,1709.330595
-2.0,3,1709.551368
5.0,5,1709.982897
5.0,5,1710.237836
5.0,5,1777.43197
5.0,5,1777.803338
3.0,4,1778.090584
2.0,3,1778.336864
5.0,5,1778.715164
-2.0,3,1846.808738
5.0,5,1847.193355
5.0,5,1847.374205
5.0,5,1847.583902
-2.0,3,1847.864887
5.0,5,1914.134709
-2.0,3,1914.364274
5.0,5,1914.599079
5.0,5,1914.940137
5.0,5,1915.336476
5.0,5,1982.540915
5.0,5,1982.808292
5.0,5,1983.127346
5.0,5,1983.296164
5.0,5,1983.736747
5.0,5,2049.502453
-3.0,2,2049.644026
5.0,5,2049.878038
5.0,5,2050.248448
4.0,4,2050.560614
4.0,4,2117.997412
-2.0,3,2118.291404
5.0,5,2118.55279
5.0,5,2118.993986
-2.0,3,2119.229403
5.0,5,2183.916565
-2.0,3,2184.034324
-2.0,3,2184.203482
2.0,3,2184.420391
5.0,5,2184.772464
4.0,4,2258.463955
-2.0,3,2258.612675
3.0,4,2258.856098
5.0,5,2259.132839
4.0,4,2259.383653
5.0,5,2325.686519
-3.0,2,2325.883416
-2.0,3,2326.063818
5.0,5,2326.329556
4.0,4,2326.655386
-2.0,3,2396.100828
-3.0,2,2396.316069
-3.0,2,2396.461218
5.0,5,2396.839022
-2.0,3,2397.201902
5.0,5,2462.409157
4.0,4,2462.709342
-3.0,2,2462.823677
5.0,5,2463.113836
5.0,5,2463.390396
